s: 125.209.254.162, d: 192.168.0.82, seq: 2764767161
s: 125.209.254.162, d: 192.168.0.82, seq: 2764770057
s: 125.209.254.162, d: 192.168.0.82, seq: 2764772953
s: 125.209.254.162, d: 192.168.0.82, seq: 2764774401
s: 125.209.254.162, d: 192.168.0.82, seq: 2764775849
s: 125.209.254.162, d: 192.168.0.82, seq: 2764778745
s: 125.209.254.162, d: 192.168.0.82, seq: 2764780193
s: 125.209.254.162, d: 192.168.0.82, seq: 2764783089
s: 125.209.254.162, d: 192.168.0.82, seq: 2764784537
s: 125.209.254.162, d: 192.168.0.82, seq: 2764785985
s: 125.209.254.162, d: 192.168.0.82, seq: 2764788881
s: 125.209.254.162, d: 192.168.0.82, seq: 2764790329
s: 125.209.254.162, d: 192.168.0.82, seq: 2764793225
s: 125.209.254.162, d: 192.168.0.82, seq: 2764794673
s: 125.209.254.162, d: 192.168.0.82, seq: 2764796121
s: 125.209.254.162, d: 192.168.0.82, seq: 2764799017
s: 125.209.254.162, d: 192.168.0.82, seq: 2764800465
s: 125.209.254.162, d: 192.168.0.82, seq: 2764806257
s: 125.209.254.162, d: 192.168.0.82, seq: 2764810601
s: 125.209.254.162, d: 192.168.0.82, seq: 2764816393
s: 125.209.254.162, d: 192.168.0.82, seq: 2764825081
s: 125.209.254.162, d: 192.168.0.82, seq: 2764827977
s: 125.209.254.162, d: 192.168.0.82, seq: 2764835217
s: 125.209.254.162, d: 192.168.0.82, seq: 2764852593
s: 125.209.254.162, d: 192.168.0.82, seq: 2764864177
s: 125.209.254.162, d: 192.168.0.82, seq: 2764871417
s: 125.209.254.162, d: 192.168.0.82, seq: 2764874313
s: 125.209.254.162, d: 192.168.0.82, seq: 2764877209
s: 125.209.254.162, d: 192.168.0.82, seq: 2764880105
s: 125.209.254.162, d: 192.168.0.82, seq: 2764881553
s: 125.209.254.162, d: 192.168.0.82, seq: 2764884449
s: 125.209.254.162, d: 192.168.0.82, seq: 2764885897
s: 125.209.254.162, d: 192.168.0.82, seq: 2764887345
s: 125.209.254.162, d: 192.168.0.82, seq: 2764890241
s: 125.209.254.162, d: 192.168.0.82, seq: 2764891689
s: 125.209.254.162, d: 192.168.0.82, seq: 2764893137
s: 125.209.254.162, d: 192.168.0.82, seq: 2764896033
s: 125.209.254.162, d: 192.168.0.82, seq: 2764813497
s: 125.209.254.162, d: 192.168.0.82, seq: 2764817841
s: 125.209.254.162, d: 192.168.0.82, seq: 2764823633
s: 125.209.254.162, d: 192.168.0.82, seq: 2764904721
s: 125.209.254.162, d: 192.168.0.82, seq: 2764909065
s: 125.209.254.162, d: 192.168.0.82, seq: 2764911961
s: 125.209.254.162, d: 192.168.0.82, seq: 2764914857
s: 125.209.254.162, d: 192.168.0.82, seq: 2764916305
s: 125.209.254.162, d: 192.168.0.82, seq: 2764917753
s: 125.209.254.162, d: 192.168.0.82, seq: 2764919201
s: 125.209.254.162, d: 192.168.0.82, seq: 2764920649
s: 125.209.254.162, d: 192.168.0.82, seq: 2764923545
s: 125.209.254.162, d: 192.168.0.82, seq: 2764929337
s: 125.209.254.162, d: 192.168.0.82, seq: 2764933681
s: 125.209.254.162, d: 192.168.0.82, seq: 2764936577
s: 125.209.254.162, d: 192.168.0.82, seq: 2764939473
s: 125.209.254.162, d: 192.168.0.82, seq: 2764942369
s: 125.209.254.162, d: 192.168.0.82, seq: 2764943817
s: 125.209.254.162, d: 192.168.0.82, seq: 2764946713
s: 125.209.254.162, d: 192.168.0.82, seq: 2764948161
s: 125.209.254.162, d: 192.168.0.82, seq: 2764949609
s: 125.209.254.162, d: 192.168.0.82, seq: 2764951057
s: 125.209.254.162, d: 192.168.0.82, seq: 2764952505
s: 125.209.254.162, d: 192.168.0.82, seq: 2764955401
s: 125.209.254.162, d: 192.168.0.82, seq: 2764956849
s: 125.209.254.162, d: 192.168.0.82, seq: 2764894585
s: 125.209.254.162, d: 192.168.0.82, seq: 2764897481
s: 125.209.254.162, d: 192.168.0.82, seq: 2764898929
s: 125.209.254.162, d: 192.168.0.82, seq: 2764958297
s: 125.209.254.162, d: 192.168.0.82, seq: 2764959745
s: 125.209.254.162, d: 192.168.0.82, seq: 2764968433
s: 125.209.254.162, d: 192.168.0.82, seq: 2764972777
s: 125.209.254.162, d: 192.168.0.82, seq: 2764974234
s: 125.209.254.162, d: 192.168.0.82, seq: 2764975682
s: 125.209.254.162, d: 192.168.0.82, seq: 2764977130
s: 125.209.254.162, d: 192.168.0.82, seq: 2764980026
s: 125.209.254.162, d: 192.168.0.82, seq: 2764981436
s: 125.209.254.162, d: 192.168.0.82, seq: 2764982884
s: 125.209.254.162, d: 192.168.0.82, seq: 2764984332
s: 125.209.254.162, d: 192.168.0.82, seq: 2764987228
s: 125.209.254.162, d: 192.168.0.82, seq: 2764988714
s: 125.209.254.162, d: 192.168.0.82, seq: 2764991610
s: 125.209.254.162, d: 192.168.0.82, seq: 2764997440
s: 125.209.254.162, d: 192.168.0.82, seq: 2765007576
s: 125.209.254.162, d: 192.168.0.82, seq: 2765013444
s: 125.209.254.162, d: 192.168.0.82, seq: 2765018195
s: 125.209.254.162, d: 192.168.0.82, seq: 2765019643
s: 125.209.254.162, d: 192.168.0.82, seq: 2765025435
